"study","varname","dataset","concept","description","description_long","boost"
* SOEPcore: biolela_bintb1

#### 1993
* SOEPcore: biolela_bintb1

#### 1994
* SOEPcore: biolela_bintb1

#### 1995
* SOEPcore: biolela_bintb1

#### 1996
* SOEPcore: mbintb1
",0.26
"soep-long","bintc01","biol","bintc01","This variable is available for all years.","#### 1984
* SOEPcore: biolela_bintc01

#### 1987
* SOEPcore: biolela_bintc01

#### 1988
* SOEPcore: biolela_bintc01

#### 1989
* SOEPcore: biolela_bintc01

#### 1990
* SOEPcore: biolela_bintc01

#### 1991
* SOEPcore: biolela_bintc01

#### 1992
* SOEPcore: biolela_bintc01

#### 1993
* SOEPcore: biolela_bintc01

#### 1994
* SOEPcore: biolela_bintc01

#### 1995
* SOEPcore: biolela_bintc01

#### 1996
* SOEPcore: mbintc01

#### 1997
* SOEPcore: nbintc01

#### 1998
* SOEPcore: obintc01

#### 1999
* SOEPcore: pbintc01

#### 2000
* SOEPcore: qbintc01

#### 2001
* SOEPcore: rbintc01

#### 2002
* SOEPcore: sbintc01

#### 2003
* SOEPcore: tbintc01

#### 2004
* SOEPcore: ubintc01

#### 2005
* SOEPcore: vbintc01

#### 2006
* SOEPcore: wbintc01

#### 2007
* SOEPcore: xbintc01

#### 2008
* SOEPcore: ybintc01

#### 2009
* SOEPcore: zbintc01

#### 2010
* SOEPcore: babintc01

#### 2011
* SOEPcore: bbbintc01

#### 2012
* SOEPcore: bcbintc01

#### 2013
* SOEPcore: bdbintc01

#### 2014
* SOEPcore: bebdauer1

#### 2015
* SOEPcore: bfbdauer1

#### 2016
* SOEPcore: bgbdauer1
",1
"soep-long","bintc02","biol","bintc02","This variable is available for all years.","#### 1984
* SOEPcore: biolela_bintc02

#### 1987
* SOEPcore: biolela_bintc02

#### 1988
* SOEPcore: biolela_bintc02

#### 1989
* SOEPcore: biolela_bintc02

#### 1990
* SOEPcore: biolela_bintc02

#### 1991
* SOEPcore: biolela_bintc02

#### 1992
* SOEPcore: biolela_bintc02

#### 1993
* SOEPcore: biolela_bintc02

#### 1994
* SOEPcore: biolela_bintc02

#### 1995
* SOEPcore: biolela_bintc02

#### 1996
* SOEPcore: mbintc02

#### 1997
* SOEPcore: nbintc02

#### 1998
* SOEPcore: obintc02

#### 1999
* SOEPcore: pbintc02

#### 2000
* SOEPcore: qbintc02

#### 2001
* SOEPcore: rbintc02

#### 2002
* SOEPcore: sbintc02

#### 2003
* SOEPcore: tbintc02

#### 2004
* SOEPcore: ubintc02

#### 2005
* SOEPcore: vbintc02

#### 2006
* SOEPcore: wbintc02

#### 2007
* SOEPcore: xbintc02

#### 2008
* SOEPcore: ybintc02

#### 2009
* SOEPcore: zbintc02

#### 2010
* SOEPcore: babintc02

#### 2011
* SOEPcore: bbbintc02

#### 2012
* SOEPcore: bcbintc02

#### 2013
* SOEPcore: bdbintc02

#### 2014
* SOEPcore: bebdauer2

#### 2015
* SOEPcore: bfbdauer2

#### 2016
* SOEPcore: bgbdauer2
",1
"soep-long","bintc03","biol","bintc03","The variable is available for 7 years, ranging from 1987 to 1993.","#### 1987
* SOEPcore: NOT!_bintc031987

#### 1988
* SOEPcore: NOT!_bintc031988

#### 1989
* SOEPcore: NOT!_bintc031989

#### 1990
* SOEPcore: NOT!_bintc031990

#### 1991
* SOEPcore: NOT!_bintc031991

#### 1992
* SOEPcore: NOT!_bintc031992

#### 1993
* SOEPcore: NOT!_bintc031993
",0.23
"soep-long","bintc04","biol","bintc04","The variable is available for 7 years, ranging from 1987 to 1993.","#### 1987
* SOEPcore: NOT!_bintc041987

#### 1988
* SOEPcore: NOT!_bintc041988

#### 1989
* SOEPcore: NOT!_bintc041989

#### 1990
* SOEPcore: NOT!_bintc041990

#### 1991
* SOEPcore: NOT!_bintc041991

#### 1992
* SOEPcore: NOT!_bintc041992

#### 1993
* SOEPcore: NOT!_bintc041993
",0.23
"soep-long","bisc188","biol","bisc188","","",0.01
"soep-long","bisco1","biol","bisco1","","",0.01
"soep-long","biscoh1","biol","biscoh1","","",0.01
"soep-long","biscohv","biol","biscohv","","",0.01
"soep-long","biscou1","biol","biscou1","","",0.01
"soep-long","biscouv","biol","biscouv","","",0.01
"soep-long","biscov","biol","biscov","","",0.01
"soep-long","biscv88","biol","biscv88","","",0.01
"soep-long","bise188","biol","bise188","","",0.01
"soep-long","bisei1","biol","bisei1","","",0.01
"soep-long","biseiv","biol","biseiv","","",0.01
"soep-long","bisev88","biol","bisev88","","",0.01
"soep-long","btre188","biol","btre188","","",0.01
"soep-long","btreim1","biol","btreim1","","",0.01
"soep-long","btreimv","biol","btreimv","","",0.01
"soep-long","btrev88","biol","btrev88","","",0.01
"soep-long","bwegen1","biol","bwegen1","","",0.01
"soep-long","bwegenv","biol","bwegenv","","",0.01
"soep-long","cid","biol","_cid","","",0.01
"soep-long","hid","biol","_hid","","",0.01
"soep-long","iday","biol","iday","The variable is available for 21 years, ranging from 1996 to 2016.","#### 1996
* SOEPcore: mbtagin

#### 1997
* SOEPcore: nbtagin

#### 1998
* SOEPcore: obtagin

#### 1999
* SOEPcore: pbtagin

#### 2000
* SOEPcore: qbtagin

#### 2001
* SOEPcore: rbtagin

#### 2002
* SOEPcore: sbtagin

#### 2003
* SOEPcore: tbtagin

#### 2004
* SOEPcore: ubtagin

#### 2005
* SOEPcore: vbtagin

#### 2006
* SOEPcore: wbtagin

#### 2007
* SOEPcore: xbtagin

#### 2008
* SOEPcore: ybtagin

#### 2009
* SOEPcore: zbtagin

#### 2010
* SOEPcore: babtagin

#### 2011
* SOEPcore: bbbtagin

#### 2012
* SOEPcore: bcbtagin

#### 2013
* SOEPcore: bdbtagin

#### 2014
* SOEPcore: bebtagin

#### 2015
* SOEPcore: bfbtagin

#### 2016
* SOEPcore: bgbtagin
",0.68
"soep-long","imonth","biol","imonth","The variable is available for 21 years, ranging from 1996 to 2016.","#### 1996
* SOEPcore: mbmonin

#### 1997
* SOEPcore: nbmonin

#### 1998
* SOEPcore: obmonin

#### 1999
* SOEPcore: pbmonin

#### 2000
* SOEPcore: qbmonin

#### 2001
* SOEPcore: rbmonin

#### 2002
* SOEPcore: sbmonin

#### 2003
* SOEPcore: tbmonin

#### 2004
* SOEPcore: ubmonin

#### 2005
* SOEPcore: vbmonin

#### 2006
* SOEPcore: wbmonin

#### 2007
* SOEPcore: xbmonin

#### 2008
* SOEPcore: ybmonin

#### 2009
* SOEPcore: zbmonin

#### 2010
* SOEPcore: babmonin

#### 2011
* SOEPcore: bbbmonin

#### 2012
* SOEPcore: bcbmonin

#### 2013
* SOEPcore: bdbmonin

#### 2014
* SOEPcore: bebmonin

#### 2015
* SOEPcore: bfbmonin

#### 2016
* SOEPcore: bgbmonin
",0.68
"soep-long","intid","biol","intid","The variable is available for 21 years, ranging from 1996 to 2016.","#### 1996
* SOEPcore: NOT!_intid1996

#### 1997
* SOEPcore: NOT!_intid1997

#### 1998
* SOEPcore: NOT!_intid1998

#### 1999
* SOEPcore: NOT!_intid1999

#### 2000
* SOEPcore: NOT!_intid2000

#### 2001
* SOEPcore: NOT!_intid2001

#### 2002
* SOEPcore: NOT!_intid2002

#### 2003
* SOEPcore: NOT!_intid2003

#### 2004
* SOEPcore: NOT!_intid2004

#### 2005
* SOEPcore: NOT!_intid2005

#### 2006
* SOEPcore: NOT!_intid2006

#### 2007
* SOEPcore: NOT!_intid2007

#### 2008
* SOEPcore: NOT!_intid2008

#### 2009
* SOEPcore: NOT!_intid2009

#### 2010
* SOEPcore: NOT!_intid2010

#### 2011
* SOEPcore: NOT!_intid2011

c(""#### 2012\n* SOEPcore: {{/soep-core/data/bgh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bghbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bgh_refugees/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bgp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bgjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bgp_mig/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bgp_refugees/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bgschool/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/bgschool2/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bgvp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt16/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/apbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bah/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bahbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bajugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bap/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bbh/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/bbhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bbjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bbp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bbvp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bch/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bchbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bcjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bcp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bcvp/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/bdh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bdhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bdjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bdp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bdp_mig/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bdvp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/beh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/behbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bejugend/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/bep/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bep_mig/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/beschool/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bevp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bfh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bfhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bfjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bfp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bfp_mig/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/bfschool/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bfvp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bioage17/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bioresid/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/biosoc/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/bp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/ch/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/chbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/cognit/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/cp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/design/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/dh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/dhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/dp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/eh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/ehbrutto/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/ep/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/fh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/fhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/fp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/gh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/ghbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/ghost/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/gp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/gpost/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/gripstr/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt00/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt02/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt06/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt09/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt10/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt11/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt12/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt13/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt15/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt84/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hbrutt98/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/hp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/ih/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/ihbrutto/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/interviewer/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/ip/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/jh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/jhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/jp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/kh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/khbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/kp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/lh/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/lhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/lp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/mh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/mhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/mp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/nh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/nhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/np/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/oh/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/ohbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/op/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/ph/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/phbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/pp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/qh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/qhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/qjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/qp/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/rh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/rhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/rjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/rp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/sh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/shbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/sjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/sp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/th/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/thbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/tjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/tp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/uh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/uhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/ujugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/up/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/vh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/vhbrutto/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/vjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/vp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/wh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/whbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/wjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/wp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/xh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/xhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/xjugend/intid}}\n"", 
""#### 2012\n* SOEPcore: {{/soep-core/data/xp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/yh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/yhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/yjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/yp/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/zh/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/zhbrutto/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/zjugend/intid}}\n"", ""#### 2012\n* SOEPcore: {{/soep-core/data/zp/intid}}\n""
)
c(""#### 2013\n* SOEPcore: {{/soep-core/data/bgh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bghbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bgh_refugees/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bgp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bgjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bgp_mig/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bgp_refugees/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bgschool/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/bgschool2/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bgvp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt16/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/apbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bah/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bahbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bajugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bap/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bbh/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/bbhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bbjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bbp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bbvp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bch/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bchbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bcjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bcp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bcvp/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/bdh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bdhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bdjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bdp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bdp_mig/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bdvp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/beh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/behbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bejugend/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/bep/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bep_mig/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/beschool/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bevp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bfh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bfhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bfjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bfp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bfp_mig/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/bfschool/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bfvp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bioage17/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bioresid/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/biosoc/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/bp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/ch/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/chbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/cognit/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/cp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/design/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/dh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/dhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/dp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/eh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/ehbrutto/intid}}\n"", 
